Team,Name,R,HR,RBI,SB,AVG,Total Z-Score
NYY,Aaron Judge,3.039969082363108,2.781569107661653,2.8560363630210555,-0.04748921204804501,3.680192317641967,12.310277658639738
LAD,Shohei Ohtani,4.02275829851429,3.0723131061680338,1.0828652721763,1.6561862701755683,1.2224489897461095,11.056571936780301
CHC,Pete Crow-Armstrong,2.057179866211926,1.618593113636131,2.1740474819269187,2.3863329054142595,0.5954736509971673,8.831627018186403
CHC,Kyle Tucker,2.057179866211926,1.618593113636131,1.6284563770516094,2.3863329054142595,0.5703946374472096,8.260956899761135
ARI,Corbin Carroll,2.3379767851122635,2.4908251091552724,1.492058600832782,1.1694218466831072,0.5703946374472096,8.060676979230635
PHI,Kyle Schwarber,1.9167814067617568,3.0723131061680338,1.901251929489264,-0.04748921204804501,-0.056580701301733934,6.786276529069276
SDP,Fernando Tatis Jr.,1.9167814067617568,1.618593113636131,0.5372741673009905,0.9260396349368768,1.0218168813464477,6.020505203982203
CIN,Elly De La Cruz,1.2147891095109125,0.4556171196106087,1.3556608246139548,2.8730973289067205,-0.3324498503512691,5.566714532290927
SEA,Cal Raleigh,1.2147891095109125,2.781569107661653,1.3556608246139548,0.19589299969818544,-0.1568967555015649,5.391015285983141
KCR,Bobby Witt Jr.,0.7935937311604058,-0.4166148759085331,0.6736719435198179,2.8730973289067205,1.2475280032960672,5.171276130974478
ARI,Geraldo Perdomo,0.23199989335973026,-0.12587087740215247,1.901251929489264,1.6561862701755683,1.272607016846025,4.936174232468435
WSN,James Wood,0.9339921906105747,1.618593113636131,0.9464674959574726,0.6826574231906464,0.7459477322969125,4.927657955691737
LAD,Freddie Freeman,0.653195271710237,0.7463611181169892,1.492058600832782,-1.021018059032967,2.8275058569434037,4.698102788570445
NYM,Francisco Lindor,0.9339921906105747,1.0371051166233698,0.8100697197386453,1.1694218466831072,0.6957897051969969,4.646378578852694
BOS,Alex Bregman,1.2147891095109125,1.3278491151297505,1.6284563770516094,-0.7776358472867364,1.0468958948964053,4.440354649301941
CLE,Jose Ramirez,0.37239835280989914,0.7463611181169892,0.12808083864450842,1.8995684819217986,1.2224489897461095,4.368857781239305
BOS,Rafael Devers,1.0743906500607436,1.0371051166233698,2.1740474819269187,-0.7776358472867364,0.7961057593968279,4.304013160721123
LAD,Mookie Betts,2.3379767851122635,0.4556171196106087,0.9464674959574726,0.19589299969818544,0.29452548839767445,4.2304798887762045
DET,Spencer Torkelson,1.3551875689610813,1.618593113636131,2.1740474819269187,-0.7776358472867364,-0.1568967555015649,4.21329556173583
DET,Riley Greene,0.9339921906105747,1.618593113636131,1.492058600832782,-0.7776358472867364,0.7961057593968279,4.0631138171895795
CHC,Dansby Swanson,1.6359844878614191,1.0371051166233698,0.5372741673009905,0.6826574231906464,0.16913042064788575,4.062151615624312
CHC,Seiya Suzuki,0.512796812260068,1.618593113636131,2.7196385868022284,-0.7776358472867364,-0.056580701301733934,4.016811964109956
MIN,Byron Buxton,1.3551875689610813,1.0371051166233698,0.5372741673009905,0.9260396349368768,0.14405140709792802,3.999657894920246
PHI,Bryce Harper,0.7935937311604058,0.4556171196106087,1.0828652721763,0.9260396349368768,0.5202366103472942,3.7783523682314852
ARI,Eugenio Suarez,0.9339921906105747,2.2000811106488922,2.0376497057080916,-0.7776358472867364,-0.9092671620002964,3.4848199976805256
MIL,Brice Turang,1.6359844878614191,-0.7073588744149136,-0.417510266230801,2.142950693668029,0.8211847729467856,3.4752508138305194
SFG,Heliot Ramos,1.49558602841125,0.7463611181169892,0.40087639108216316,-0.29087142379427544,1.0218168813464477,3.373768995162575
NYM,Pete Alonso,0.653195271710237,0.7463611181169892,1.901251929489264,-1.021018059032967,0.9215008271466166,3.2012910874301395
NYY,Paul Goldschmidt,1.2147891095109125,-0.4166148759085331,0.2644786148633358,-0.29087142379427544,2.1002144639946305,2.87199588866607
SFG,Wilmer Flores,-0.04879702554060749,1.0371051166233698,2.583240810583401,-0.7776358472867364,0.04373535289809704,2.8376484072775234
MIA,Kyle Stowers,-0.04879702554060749,1.0371051166233698,0.9464674959574726,-0.534253635540506,1.3478440574958983,2.748366008995627
ATH,Tyler Soderstrom,0.653195271710237,1.0371051166233698,0.9464674959574726,-0.534253635540506,0.6205526645471251,2.723066913297698
PHI,Trea Turner,1.3551875689610813,-0.9981028729212942,-0.6903058186684558,1.6561862701755683,1.3227650439459404,2.6457301914928397
PIT,Oneil Cruz,0.23199989335973026,0.4556171196106087,-0.6903058186684558,3.3598617523991816,-0.859109134900381,2.4980638118006837
WSN,CJ Abrams,0.0916014339095614,0.4556171196106087,-0.6903058186684558,1.1694218466831072,1.4481601116957292,2.4744946932305507
