Name,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SFG,HBP,AVG,OBP,SLG,OPS
Scott Kingery,LAA,SS,31,2,5,1,1,1,0,0,0,0,0,1,2,0,0,0,0.2,0.333,0.4,0.733
Sean Bouchard,COL,OF,29,31,65,7,11,0,1,1,7,1,1,7,27,0,0,0,0.169,0.25,0.246,0.496
Sean Murphy,ATL,C,30,36,121,14,27,4,0,9,20,0,0,14,46,0,0,5,0.223,0.329,0.479,0.808
Seiya Suzuki,CHC,OF,30,55,219,34,59,18,2,14,52,1,2,23,63,0,4,0,0.269,0.333,0.562,0.895
Seth Brown,ATH,OF,32,33,52,6,11,2,0,1,3,1,0,7,17,0,0,2,0.212,0.328,0.308,0.636
Shay Whitcomb,HOU,3B,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shea Langeliers,ATH,C,27,52,193,24,46,7,0,10,26,4,1,19,38,0,2,0,0.238,0.304,0.43,0.734
Shohei Ohtani,LAD,DH,30,57,229,63,67,9,4,22,37,11,4,37,66,0,1,0,0.293,0.39,0.655,1.045
Spencer Horwitz,PIT,1B,27,15,55,4,12,3,0,1,5,0,0,5,14,0,0,0,0.218,0.283,0.327,0.61
Spencer Steer,CIN,OF,27,53,195,23,43,9,0,4,17,3,1,18,53,0,0,1,0.221,0.29,0.328,0.618
Spencer Torkelson,DET,1B,25,58,204,35,48,14,0,14,42,1,0,31,60,0,3,5,0.235,0.346,0.51,0.856
Starling Marte,NYM,OF,36,38,94,12,21,3,0,3,14,4,1,9,19,1,1,8,0.223,0.339,0.351,0.69
Steven Kwan,CLE,OF,27,57,224,29,70,13,0,5,21,8,1,18,22,1,1,3,0.313,0.37,0.438,0.808
Stuart Fairchild,ATL,OF,29,21,33,7,6,1,1,0,2,2,1,3,9,0,0,0,0.182,0.25,0.273,0.523
Taylor Walls,TBR,SS,28,50,128,17,24,2,0,1,10,7,4,17,30,0,3,0,0.188,0.277,0.227,0.504
Taylor Ward,LAA,OF,31,57,221,33,48,11,1,16,38,1,1,18,65,0,4,0,0.217,0.272,0.493,0.765
Teoscar Hernandez,LAD,OF,32,45,175,29,51,14,0,10,42,5,0,6,42,0,1,1,0.291,0.317,0.543,0.86
Thairo Estrada,COL,2B,29,2,7,1,1,0,0,0,1,0,0,0,1,0,0,1,0.143,0.25,0.143,0.393
Thomas Saggese,STL,2B,23,14,41,4,14,4,0,1,7,0,0,2,11,0,1,0,0.341,0.364,0.512,0.876
Tim Anderson,LAA,SS,31,31,83,8,17,3,0,0,3,1,1,3,29,1,0,3,0.205,0.258,0.241,0.499
Tim Elko,CHW,1B,26,10,31,4,5,0,0,3,5,0,0,1,10,0,0,0,0.161,0.188,0.452,0.64
Tim Tawa,ARI,2B,26,37,103,14,23,4,0,6,14,6,0,10,27,0,3,1,0.223,0.291,0.437,0.728
Tirso Ornelas,SDP,OF,25,7,14,0,1,0,0,0,1,0,0,2,2,0,0,0,0.071,0.188,0.071,0.259
TJ Friedl,CIN,OF,29,56,217,34,65,10,2,4,20,9,3,28,41,1,2,2,0.3,0.382,0.419,0.801
Tomas Nido,DET,C,31,11,35,4,12,0,0,0,2,0,0,0,10,1,0,1,0.343,0.361,0.343,0.704
Tommy Edman,LAD,OF,30,42,154,26,38,8,1,9,29,2,1,7,28,0,3,3,0.247,0.287,0.487,0.774
Tommy Pham,PIT,OF,37,42,139,11,29,4,0,0,8,3,0,13,41,0,1,1,0.209,0.279,0.237,0.516
Travis d'Arnaud,LAA,C,36,26,82,3,16,6,0,1,4,0,0,4,28,0,0,2,0.195,0.25,0.305,0.555
Travis Jankowski,TBR,OF,33,14,31,6,8,2,0,0,2,2,0,2,9,0,1,0,0.258,0.294,0.323,0.617
Travis Jankowski,CHW,OF,33,7,14,1,3,0,0,0,0,0,0,1,3,0,0,0,0.214,0.267,0.214,0.481
