Team,Name,W,ERA,WHIP,SO,SV,HLD,Total Z-Score
HOU,Hunter Brown,1.8072715861928366,1.379591583277088,1.4706333428784073,1.5693270541135647,,,6.2268235664618965
NYY,Max Fried,1.8072715861928366,2.103334357416954,1.369127015185896,0.6952714796705667,,,5.975004438466253
PHI,Zack Wheeler,1.1325568606808443,0.7716476529996003,1.5721396705709187,2.2844634332032903,,,5.760807617454653
TEX,Nathan Eovaldi,0.4578421351688518,1.7945374404506111,2.181177636725986,1.0925694680537477,,,5.526126680399197
LAD,Yoshinobu Yamamoto,1.1325568606808443,1.5532898490706557,1.4706333428784073,1.3309482610836563,,,5.487428313713564
BOS,Garrett Crochet,0.4578421351688518,1.4374910052082772,0.6585827213383171,2.125544237850018,,,4.679460099565464
DET,Tarik Skubal,0.4578421351688518,0.5786495798956358,1.3183738513396408,2.205003835526654,,,4.559869401930783
KCR,Kris Bubic,1.1325568606808443,1.9296360916233863,0.7093358851845727,0.7747310773472028,,,4.546259914836006
MIN,Joe Ryan,0.4578421351688518,0.7619977493444019,1.9781649813409636,1.25148866340702,,,4.449493529261237
NYY,Carlos Rodon,1.1325568606808443,0.28915247023968943,1.0646080321083624,1.648786651790201,,,4.135104014819097
PHI,Jesus Luzardo,1.1325568606808443,1.466440716173872,0.25255741056827274,1.25148866340702,,,4.103043650830009
SEA,Bryan Woo,1.1325568606808443,0.7909474603099967,1.67364599826343,0.2979734912873857,,,3.895123810541657
TEX,Jacob deGrom,0.4578421351688518,1.0997443772763396,1.369127015185896,0.854190675023839,,,3.7809042026549267
SFG,Logan Webb,1.1325568606808443,0.7716476529996003,-0.0012084086630056315,1.8077058471434733,,,3.710701952160912
SFG,Robbie Ray,1.8072715861928366,0.7716476529996003,-0.10271473635551699,0.854190675023839,,,3.330395177860759
TEX,Tyler Mahle,1.1325568606808443,1.9296360916233863,1.1153611959546181,-0.8939204738621571,,,3.2836336743966914
SDP,Michael King,0.4578421351688518,0.8488468822411861,0.9123485405695955,1.0131098703771115,,,3.232147428356745
